Player,Span,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best Bowling,Average,Economy,Strike Rate,Four Wickets,Five Wickets,Start Year,End Year
Ravi Bishnoi (KXIP/LSG/PBKS),2020-2023,52,51,1149,191.3,1,1453,53,Mar-24,27.41,7.58,21.67,0,0,2020,2023
JO Holder (CSK/KKR/LSG/RR/SRH),2013-2023,46,46,995,165.5,0,1461,53,Apr-52,27.56,8.81,18.77,1,0,2013,2023
HH Pandya (GT/MI),2015-2023,123,81,1202,200.2,0,1763,53,Mar-17,33.26,8.8,22.67,0,0,2015,2023
S Gopal (MI/RR/SRH),2014-2022,49,48,949,158.1,1,1282,49,Apr-16,26.16,8.1,19.36,1,0,2014,2022
M Prasidh Krishna (KKR/RR),2018-2022,51,51,1145,190.5,3,1703,49,Apr-30,34.75,8.92,23.36,1,0,2018,2022
NM Coulter-Nile (DC/KKR/MI/RR),2013-2022,39,38,857,142.5,1,1100,48,Apr-14,22.91,7.7,17.85,2,0,2013,2022
JC Archer (MI/RR),2018-2023,40,40,945,157.3,2,1171,48,Mar-15,24.39,7.43,19.68,0,0,2018,2023
T Natarajan (KXIP/SRH),2017-2023,47,47,1029,171.3,1,1504,48,03-Oct,31.33,8.76,21.43,0,0,2017,2023
S Nadeem (DC/SRH),2011-2021,72,70,1415,235.5,2,1784,48,Mar-16,37.16,7.56,29.47,0,0,2011,2021
Mustafizur Rahman (DC/MI/RR/SRH),2016-2023,48,48,1092,182.0,1,1444,47,Mar-16,30.72,7.93,23.23,0,0,2016,2023
SB Jakati (CSK/GL/RCB),2009-2017,59,57,1085,180.5,1,1451,47,Apr-22,30.87,8.02,23.08,2,0,2009,2017
TG Southee (CSK/KKR/MI/RCB/RR),2011-2023,54,54,1206,201.0,2,1742,47,Mar-20,37.06,8.66,25.65,0,0,2011,2023
S Aravind (RCB),2011-2017,38,38,760,126.4,0,1039,45,Apr-14,23.08,8.2,16.88,2,0,2011,2017
RJ Harris (DC/KXIP),2009-2013,37,37,832,138.4,3,1047,45,Apr-34,23.26,7.55,18.48,1,0,2009,2013
A Kumble (RCB),2008-2010,42,42,965,160.5,1,1058,45,05-May,23.51,6.57,21.44,2,1,2008,2010
PJ Cummins (DC/KKR),2014-2022,42,42,953,158.5,1,1357,45,Apr-34,30.15,8.54,21.17,1,0,2014,2022
VR Aaron (DC/GT/KXIP/RCB/RR),2011-2022,52,50,994,165.4,2,1481,44,Mar-16,33.65,8.93,22.59,0,0,2011,2022
AJ Tye (GL/KXIP/LSG/RR),2017-2022,30,30,684,114.0,0,979,42,May-17,23.3,8.58,16.28,3,1,2017,2022
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,60,950,158.2,0,1289,42,03-Dec,30.69,8.14,22.61,0,0,2009,2021
YK Pathan (KKR/RR/SRH),2008-2019,174,82,1147,191.1,1,1415,42,Mar-20,33.69,7.4,27.3,0,0,2008,2019
SM Curran (CSK/KXIP/PBKS),2019-2023,46,45,935,155.5,0,1484,42,04-Nov,35.33,9.52,22.26,1,0,2019,2023
R Sharma (DC/PWI),2010-2014,44,44,928,154.4,1,1086,40,Mar-13,27.15,7.02,23.2,0,0,2010,2014
Iqbal Abdulla (KKR/RCB/RR),2008-2017,49,48,920,153.2,1,1109,40,Mar-24,27.72,7.23,23.0,0,0,2008,2017
S Sreesanth (Kochi/KXIP/RR),2008-2013,44,44,880,146.4,4,1190,40,Mar-29,29.75,8.11,22.0,0,0,2008,2013
P Awana (KXIP),2012-2014,33,33,747,124.3,2,1029,39,Apr-34,26.38,8.26,19.15,1,0,2012,2014
MP Stoinis (DC/KXIP/LSG/RCB),2016-2023,82,55,719,119.5,0,1148,39,Apr-15,29.43,9.57,18.43,1,0,2016,2023
DT Christian (DC/RCB/RPS),2011-2021,49,49,883,147.1,0,1192,38,02-Oct,31.36,8.09,23.23,0,0,2011,2021
PJ Sangwan (DC/GL/GT/KKR/MI),2008-2022,42,42,856,142.4,1,1240,38,Mar-18,32.63,8.69,22.52,0,0,2008,2022
DE Bollinger (CSK),2010-2012,27,27,576,96.0,3,693,37,Apr-13,18.72,7.21,15.56,1,0,2010,2012
LH Ferguson (GT/KKR/RPS),2017-2023,38,38,811,135.1,1,1171,37,Apr-28,31.64,8.66,21.91,1,0,2017,2023
MS Gony (CSK/DC/GL/KXIP),2008-2017,44,44,888,148.0,3,1287,37,Mar-31,34.78,8.69,24.0,0,0,2008,2017
MR Marsh (DC/PWI/RPS/SRH),2010-2023,38,31,512,85.2,1,692,36,Apr-25,19.22,8.1,14.22,2,0,2010,2023
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,73,869,144.5,0,1077,36,Apr-29,29.91,7.43,24.13,2,0,2008,2019
Washington Sundar (RCB/RPS/SRH),2017-2023,58,56,1024,170.4,1,1252,36,Mar-16,34.77,7.33,28.44,0,0,2017,2023
PW Hasaranga (RCB),2021-2023,26,26,552,92.0,1,748,35,May-18,21.37,8.13,15.77,1,1,2021,2023
JR Hazlewood (CSK/RCB),2020-2023,27,27,603,100.3,1,810,35,Apr-25,23.14,8.05,17.22,1,0,2020,2023
WD Parnell (DC/PWI/RCB),2011-2023,33,33,723,120.3,1,937,35,03-Oct,26.77,7.77,20.65,0,0,2011,2023
